amfi_code,scheme_name,cagr_3yr,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_dd,score,score_100
101207,ABSL Small Cap Fund - Regular - Growth,-0.04151453816140693,0.052618136475854796,0.10897091901704538,-0.3544691649336603,1.53,2.0,14.0,14.0,12.5,38.0,12.575000000000001,36.93098384728341
120507,ICICI Pru Liquid Fund - Regular - Growth,0.07392538786263403,-3.650183878568498,0.06746210411099539,-0.0009773140045925555,0.74,12.0,3.0,10.0,34.0,1.0,11.549999999999999,33.920704845814974
120844,Kotak Liquid Fund - Regular - Growth,0.06694394239074852,-4.00034896923339,0.06455677495375998,-0.0011629327956168556,0.6,11.0,2.0,9.0,38.0,2.0,11.5,33.77386196769457
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.04061259859840338,-0.8505789759662257,0.05074772999976104,-0.08316361763638702,0.55,8.0,5.0,6.0,40.0,6.0,11.45,33.627019089574155
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.05838988442093762,-0.7430986305648438,0.05620895216638369,-0.04328728923970093,0.77,9.0,6.0,7.0,32.0,5.0,10.899999999999999,32.011747430249635
119095,Axis Small Cap Fund - Regular - Growth,-0.11703299329834216,-0.15165815861644072,0.048015953637759554,-0.5167775370852656,1.38,1.0,9.0,4.0,24.0,39.0,10.85,31.864904552129225
100025,HDFC Short Term Debt Fund - Regular - Growth,0.03915479354684703,-1.0399413574427714,0.042817920315060876,-0.04308263824636349,0.56,7.0,4.0,3.0,39.0,4.0,9.950000000000001,29.221732745961827
101208,ABSL Liquid Fund - Regular - Growth,0.06314299292105274,-4.650400707150909,0.060861457957871144,-0.0016224980244717857,0.79,10.0,1.0,8.0,30.0,3.0,9.65,28.34067547723936
102886,UTI Mid Cap Fund - Regular - Growth,-0.007672319440258146,-0.29488891285109065,0.028969397866379445,-0.2800112356639287,1.51,4.0,8.0,1.0,16.5,35.0,9.375,27.533039647577095
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.012923525892154508,-0.321019260499541,0.03747580763443281,-0.24734440880673303,1.55,6.0,7.0,2.0,9.0,34.0,8.7,25.55066079295154
119092,Axis Bluechip Fund - Regular - Growth,0.005257668501786883,-0.1310091688396525,0.0689952982167755,-0.1440161790933726,1.64,5.0,11.0,11.0,1.5,15.0,8.175,24.008810572687228
